street,sic_name,employees,Longitude,Latitude,firstyear,lastyear
180 Weeden Street,Industrial & Commercial Machinery,0-49,-71.39468872,41.87768267,1953,2012
50 Sprague St,Fabricated Metal Products,NA,-71.42626486,41.80954445,1953,2012
44 Wichar St,Fabricated Metal Products,NA,-71.4621085,41.69396625,1983,1983
95 Stewart St,Industrial & Commercial Machinery,0-49,-71.41754998,41.81626438,1953,1959
480 Broadway,"Printing, Publishing & Allied Industries",0-49,-71.43411665,41.81864292,1998,2008
50 Valley St,Fabricated Metal Products,0-49,-71.44076406,41.8185032,1959,1998
265 Harris Ave,Fabricated Metal Products,0-49,-71.42834535,41.82622635,1973,2002
725 Branch Ave Unit 102,Food & Kindred Products,0-49,-71.42847322,41.85366858,2006,2006
1 Mashapeug Street,Jewelry & Other Miscellaneous Manufacturing,NA,-71.42871657,41.80110136,1953,1975
50 Aleppo Street,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.44828149,41.81989128,1953,1998
1700 Smith St,Jewelry & Other Miscellaneous Manufacturing,NA,-71.46854481,41.85414889,1961,1998
0 EMP 5 557 1975 04 Fountain St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.3798029,41.87985301,2002,2002
886 Hogte St,"Stone, Clay, Glass & Concrete Products",0-49,-71.42116322,41.83677328,2006,2006
55 Pawtucket Ave,Fabricated Metal Products,0-49,-71.38632342,41.87191236,1953,2012
1693 Main Street,Transportation Equipment,0-49,-71.52335441,41.68553415,1967,1973
85 89 Tiogue Ave Rear 828 3730,Transportation Equipment,0-49,-71.53237023,41.67994894,1975,1975
87 Tiogue Avenue West Warwick,Industrial & Commercial Machinery,0-49,-71.53227403,41.67996598,1983,1988
17 23 Gordon Avenue,Jewelry & Other Miscellaneous Manufacturing,NA,-71.41627358,41.80473402,1963,1994
104 Pettaconsett Ave 467 7780,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.44534895,41.75201787,1975,1983
One Waterman Ave,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.37945515,41.82650019,1983,1986
153 Hamlet Avenue rear,Textile Mill Products,0-49,-71.50142776,42.0020023,1959,2006
104 Sayles Street,Textile Mill Products,0-49,-71.51773396,42.0006455,1967,1981
151 Chestnut St,Jewelry & Other Miscellaneous Manufacturing,NA,-71.41148572,41.81876078,1953,1953
1079 Main St,Industrial & Commercial Machinery,0-49,-71.3990743,41.8607694,1953,1963
54 Broadway,Fabricated Metal Products,NA,-71.38067582,41.87708336,1953,1967
316 Lafayette St,Industrial & Commercial Machinery,0-49,-71.39754691,41.85720286,1953,1953
318 Lafayette Street,Industrial & Commercial Machinery,0-49,-71.3975846,41.85720038,1953,1969
1128 Narragansett Blvd,Transportation Equipment,0-49,-71.39377059,41.78247155,1953,2012
239 Harris Ave,"Stone, Clay, Glass & Concrete Products",NA,-71.42729494,41.82647247,1971,1988
1463 Plainfield St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.48635266,41.7940181,1981,1981
1280 Jellerson Blvd,"Printing, Publishing & Allied Industries",0-49,-71.44187007,41.73953856,1998,1998
NA,"Printing, Publishing & Allied Industries",NA,-71.51894819,41.69706904,1994,1994
70 Dewey Ave,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.43117779,41.73463921,1998,2012
304 Pearl St,Industrial & Commercial Machinery,100-249,-71.42173841,41.81526201,1953,1983
109 Bellows St,Industrial & Commercial Machinery,0-49,-71.40030232,41.76429657,1969,1988
2 Summer Street Providence,Fabricated Metal Products,0-49,-71.41906733,41.81642775,1991,2010
886 Crandall Rd,Lumber & Wood Products Except Furniture,0-49,-71.14365369,41.60006646,2008,2010
129 Front Street,Chemicals & Allied Products,NA,-71.3797657,41.88310055,1953,1983
2239 Mineral Spring Avenue,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.48374259,41.85815669,1959,2012
430 Douglas Pike,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.49280843,41.89192936,1983,1991
665 Mineral Spring Ave,Jewelry & Other Miscellaneous Manufacturing,NA,-71.41047843,41.87214868,1973,2012
505 E lronstone Rd,Lumber & Wood Products Except Furniture,NA,-71.66136355,41.96950561,1998,2012
49 Middle St,"Electronics, Electrical Equipment & Components",0-49,-71.378877,41.88307386,1975,1983
1193 Broad St,"Electronics, Electrical Equipment & Components",500+,-71.38815433,41.89588349,1953,2012
125 Holden St,Leather & Leather Products,50-99,-71.41817554,41.83230557,2006,2008
1290 Eddy Street,Finished Products from Fabrics,0-49,-71.4030011,41.78997433,1963,1969
P 20 Burnside St,"Electronics, Electrical Equipment & Components",0-49,-71.27264883,41.66328864,2010,2010
843 Reservoir Avenue,Food & Kindred Products,0-49,-71.44599705,41.77785107,1971,1973
15 WiIcIar St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.45758868,41.65080172,1981,1981
293 S Main St,"Printing, Publishing & Allied Industries",0-49,-71.40495514,41.82213963,1981,2008
433 W Shore Rd,"Printing, Publishing & Allied Industries",0-49,-71.39237282,41.72882167,1998,2002
136 Wharf Rd,Transportation Equipment,0-49,-71.39074618,41.69790999,1998,2010
25 Curtis St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.37640075,41.82649888,1953,1998
709 No Broadway,Jewelry & Other Miscellaneous Manufacturing,NA,-71.36711419,41.82272602,1953,1953
711 Nora m,Jewelry & Other Miscellaneous Manufacturing,NA,-71.3671302,41.82270394,1959,1959
97 Dexter Road East Providence,Fabricated Metal Products,0-49,-71.37079743,41.83056734,1969,2012
NA,Fabricated Metal Products,0-49,-71.48378742,41.85803619,1971,1973
785 River Street Woonsocket,Transportation Equipment,0-49,-71.20840432,41.62385656,1988,1988
299 Walcott Street,Furniture & Fixtures,0-49,-71.36970398,41.87837943,1971,2008
89 Bellows St,Precision Machinery,0-49,-71.39969368,41.76432317,2008,2010
1050 Tollgate Road,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.49771504,41.71112684,1979,1994
744 Cranston Street,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.43836504,41.80443757,1971,1988
192 Georgia Avenue,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.40055987,41.79144533,1959,2010
239 West Exchange St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.42183272,41.82540562,1953,1967
100 Bosworth Street,Jewelry & Other Miscellaneous Manufacturing,50-99,-71.45032093,41.82155593,1967,1994
916 Eddy St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.40652862,41.80283846,1953,1953
355 Dexter Street,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.42907508,41.80670513,1953,2010
6 Carol Dr,"Stone, Clay, Glass & Concrete Products",50-99,-71.48051503,41.9229883,1975,2012
112 Point St.,Jewelry & Other Miscellaneous Manufacturing,50-99,-71.40762387,41.81634584,1953,1988
100 Manton Avenue,Jewelry & Other Miscellaneous Manufacturing,50-99,-71.44536602,41.81847179,1959,1998
40 Sharpe Drive Cranston,Furniture & Fixtures,50-99,-71.45517922,41.74015731,1988,2002
4 Industrial Lane,"Printing, Publishing & Allied Industries",0-49,-71.50875519,41.8238644,1979,2010
42 Spring St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.31235237,41.49028401,1986,1994
330 Woonasquatucket Avenue,Fabricated Metal Products,0-49,-71.47694935,41.84510778,1973,2010
400 Reservoir Ave.,Jewelry & Other Miscellaneous Manufacturing,250-499,-71.43186066,41.7878654,1953,1986
738 740 Dyer Avenue,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.45737366,41.79197431,1979,1986
783 Dyer Avenue Cranston,Primary Metal Industries,0-49,-71.45731886,41.79083005,1988,1988
42 Gano St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.38968425,41.8192246,1953,1953
NA,Rubber & Miscellaneous Plastic Products,0-49,-71.4078448,41.8094048,1959,1963
75 Eagle Street,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.43533554,41.82510731,1961,1994
99 Beverage Hill Ave,Industrial & Commercial Machinery,NA,-71.37000774,41.8606374,1971,2008
45 Acorn Si,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.42809604,41.82715707,1998,1998
175 Post Rd,Fabricated Metal Products,100-249,-71.39708594,41.76253365,1979,1986
180 Rand Street,Industrial & Commercial Machinery,0-49,-71.39600264,41.88409197,1986,1988
9 Rhode Island Ave,Industrial & Commercial Machinery,0-49,-71.37917019,41.67561416,1953,1963
9 James P Murphy Ind Hwy,Finished Products from Fabrics,NA,-71.50408213,41.67054459,2006,2008
98 Granite St,Industrial & Commercial Machinery,0-49,-71.82040579,41.37282656,1953,1959
NA,Industrial & Commercial Machinery,0-49,-71.81180162,41.34871776,1961,1975
245 Child St,Rubber & Miscellaneous Plastic Products,0-49,-71.27437453,41.72959558,1981,2012
1189 E Main Rd,Leather & Leather Products,0-49,-71.25253329,41.56531077,1998,2008
100 Pulaski St,Industrial & Commercial Machinery,0-49,-71.52798142,41.68739517,1953,1998
27 East Manning St,Lumber & Wood Products Except Furniture,NA,-71.39262461,41.82699717,1981,1983
65 Access Rd,Fabricated Metal Products,0-49,-71.447423,41.734569,2002,2008
936 Toll Gate Road,Industrial & Commercial Machinery,0-49,-71.49408386,41.71045617,1953,1959
19 Broadcommon Rd,Transportation Equipment,0-49,-71.27095669,41.69543034,1979,2012
208 Gaskill St,Industrial & Commercial Machinery,0-49,-71.52308449,42.01396894,1953,1961
84 Broad St,Jewelry & Other Miscellaneous Manufacturing,NA,-71.38655615,41.88082591,1969,1986
15 Island Place,Industrial & Commercial Machinery,0-49,-71.51645264,41.99910619,1953,1988
580 High Street,Fabricated Metal Products,0-49,-71.38403656,41.88786058,1971,1973
327 Pine St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.39221222,41.88037551,1953,2008
97 Pine Sheet,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.389506,41.87159626,1959,1967
250 Esten Ave,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.40175807,41.86079305,1953,2010
400 Franklin St,Industrial & Commercial Machinery,0-49,-71.2633359,41.67648031,1979,2012
528 W Main Rd,Industrial & Commercial Machinery,0-49,-71.30036918,41.51786911,2008,2008
Kid,Industrial & Commercial Machinery,0-49,-71.31454174,41.49016364,2010,2010
660 Cottage Street,Food & Kindred Products,0-49,-71.35673335,41.89276742,1971,1991
486 Atwells Avenue,Jewelry & Other Miscellaneous Manufacturing,NA,-71.43318594,41.82408877,1963,1963
174 Almy Street,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.43398621,41.82167895,1971,1973
60 Tingley Street,Fabricated Metal Products,0-49,-71.429328,41.82674938,1971,1981
117 Broadway,Industrial & Commercial Machinery,0-49,-71.42123059,41.8217757,1953,2006
195 Anthony Street East Providence,Industrial & Commercial Machinery,0-49,-71.37531414,41.82464701,1979,1994
1478 Atwood Ave,Jewelry & Other Miscellaneous Manufacturing,NA,-71.49879701,41.82303048,1981,1988
55 Sims Ave,Fabricated Metal Products,0-49,-71.43360953,41.82655377,1953,1975
35 Thurber St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.43352602,41.86763726,1998,2006
80 Stamp Farm Rd,Food & Kindred Products,0-49,-71.5192326,41.78677535,1994,2010
98 Tweed St,Food & Kindred Products,0-49,-71.35683944,41.89036577,2010,2010
70 Wood Street,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.43447714,41.81248896,1971,1975
541 Dyer Ave,"Stone, Clay, Glass & Concrete Products",0-49,-71.45791407,41.79860864,1998,2012
18 Spencer St,Lumber & Wood Products Except Furniture,0-49,-71.38552478,41.870644,1953,1961
NA,Leather & Leather Products,0-49,-71.54533788,41.68354683,2008,2008
325 Valley Street,Furniture & Fixtures,50-99,-71.43880537,41.82615998,1963,1998
1505 Main Street,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.52141285,41.6937359,1953,2012
229 Waterman St Unit 1,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.38832267,41.82855164,2006,2008
50 54 Valley St,Rubber & Miscellaneous Plastic Products,50-99,-71.44074084,41.81862352,1953,1953
NA,Rubber & Miscellaneous Plastic Products,50-99,-71.44064726,41.81833823,1959,1959
40 Sprague Street,Jewelry & Other Miscellaneous Manufacturing,NA,-71.42591668,41.80951725,1953,1991
378 Waterman St,Fabricated Metal Products,0-49,-71.38194024,41.82746835,1953,1953
93 Macondray St,Fabricated Metal Products,0-49,-71.39450715,41.90456622,2006,2006
Phone401 596 0162,"Printing, Publishing & Allied Industries",0-49,-71.28000682,41.53708517,1998,1998
Roslyn 3 Shwenz President 530 Wellington Ave,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.42729606,41.77259404,2002,2002
333 Strawberry Field Rd,"Electronics, Electrical Equipment & Components",100-249,-71.42694675,41.71159978,1959,2012
290 Smith St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.42143718,41.83349424,2008,2012
861 Broad Street,Industrial & Commercial Machinery,NA,-71.41754791,41.80043648,1953,1983
94 Aldrich Street,Fabricated Metal Products,0-49,-71.40712845,41.79450731,1953,1986
75 Oxford St,Leather & Leather Products,50-99,-71.40451272,41.80357206,1959,2012
7 Beverly St,Jewelry & Other Miscellaneous Manufacturing,50-99,-71.41551888,41.82257668,1953,1967
185 Eddy St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.4093937,41.82080071,1953,1959
44 Chestnut Street,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.46171479,41.85953635,1961,1961
233 Harris Avenue,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.42792403,41.82632366,1967,2008
233 Harris Ave,Leather & Leather Products,0-49,-71.42708129,41.82652377,1967,2008
1600 Elmwood Ave,Food & Kindred Products,0-49,-71.42541951,41.76471877,1998,2006
796 Aquidneck Ave,"Printing, Publishing & Allied Industries",NA,-71.28252042,41.50967611,1991,2002
33 Minnesota Ave,Leather & Leather Products,0-49,-71.42614408,41.73985676,1981,2006
60 Kenney Dr,Leather & Leather Products,50-99,-71.44709058,41.74322238,1981,2010
51 Empire St,Jewelry & Other Miscellaneous Manufacturing,NA,-71.41543235,41.8211421,1953,1981
90 South Street,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.40907079,41.81680266,1959,1969
100 Gilbane St,"Electronics, Electrical Equipment & Components",0-49,-71.4637559,41.69529849,1979,2012
150 Hamlet Ave,Food & Kindred Products,0-49,-71.53192874,41.99158585,1961,2008
39 Franklin St,Finished Products from Fabrics,0-49,-71.42460322,41.87106487,1953,1953
26 Barberry Hill,Textile Mill Products,0-49,-71.39544633,41.83661557,1959,1959
1438 Park Ave,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.51568879,41.98413559,1998,2006
5I Graystone Street,Food & Kindred Products,0-49,-71.44587735,41.73102458,1971,1971
536 Plainfield Street,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.45644382,41.81304312,1973,1994
216 Laurel Hill Avenue,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.45424397,41.81121995,1975,1986
1086 Bald Hill Rd,Fabricated Metal Products,0-49,-71.49125075,41.70827371,1979,1979
740 Westminster Street,Furniture & Fixtures,0-49,-71.42076377,41.81803119,1959,1963
1199 Eddy Street,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.40386069,41.79261281,1953,1986
908 Eddy Street,Jewelry & Other Miscellaneous Manufacturing,50-99,-71.40658315,41.80305013,1953,1998
500 Callahan Road North Kingstown,Industrial & Commercial Machinery,100-249,-71.43451522,41.59945474,1959,2012
50 Schoolhouse Lane Portsmouth,Chemicals & Allied Products,0-49,-71.25253014,41.57325225,1991,2006
1 Waterman Avenue East Providence,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.40080792,41.82734139,1953,2006
1136 Lonsdale Ave Unit 2,"Stone, Clay, Glass & Concrete Products",0-49,-71.40413318,41.89409416,2008,2010
413 Central Ave Ste 151,"Printing, Publishing & Allied Industries",0-49,-71.36602087,41.88530688,2010,2012
362 Dyer Ave,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.45805381,41.80467934,1953,1967
14 Vallette St,Leather & Leather Products,NA,-71.4659638,41.77867896,1959,1994
1100 Pontiac Ave,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.44846149,41.75390348,1953,1981
325 Valley Sheet,Chemicals & Allied Products,0-49,-71.43875613,41.82600898,1967,1967
491 High St Lonsdale,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.39390002,41.91484107,1953,1953
178 Broadway,"Printing, Publishing & Allied Industries",0-49,-71.42314201,41.82121495,1953,1988
80 Point Street Providence,Primary Metal Industries,0-49,-71.40645073,41.81682146,1961,1994
1106 Warwick Ave,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.40600546,41.74585395,1998,2012
75 Sabin St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.3715965,41.88652639,1953,1961
560 Mineral Spring Avenue,Jewelry & Other Miscellaneous Manufacturing,50-99,-71.40743277,41.87278349,1953,2010
1437 Eimwood Ave,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.42404172,41.76978223,1998,1998
35 5th Ave,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.42479254,41.76324341,1959,2012
250 Centerville Road Bldg F Warwick,Chemicals & Allied Products,0-49,-71.57462264,41.65831858,1988,1988
a 351 New London Ave 301,Leather & Leather Products,0-49,-71.50646518,41.70969128,2008,2008
652 Wood Street,Finished Products from Fabrics,NA,-71.27388839,41.67959469,1959,2006
564 Eddy Street,"Printing, Publishing & Allied Industries",0-49,-71.40683684,41.81330767,1953,1998
184 Woonasquatucket Avenue North,Chemicals & Allied Products,0-49,-71.47531198,41.83988292,1953,2012
77 Washington St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.4308076,41.86185909,1953,1983
602 Reservoir Avenue,Finished Products from Fabrics,NA,-71.45004387,41.77473378,1963,1969
176 Gansett Avenue,Finished Products from Fabrics,NA,-71.42691316,41.79358979,1963,1963
753 Oaklawn Ave,Textile Mill Products,0-49,-71.42773606,41.92748601,1971,1971
115 Duke St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.44823742,41.66066688,1953,1998
702 East Avenue Warwick,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.48749592,41.72060734,1983,2006
120 Franklin St,Textile Mill Products,100-249,-71.8107987,41.3600185,1953,2008
36 Bellair Ave Apponaug,Textile Mill Products,0-49,-71.44348007,41.71999238,1953,2012
30 Martin St Ste 2 C 3,"Electronics, Electrical Equipment & Components",0-49,-71.42601277,41.92820418,1998,2012
331 N Broadway,NA,0-49,-71.36079652,41.83259644,1983,2012
White Rock,Textile Mill Products,0-49,-71.83916026,41.39970361,1953,1994
100 Blackstone St,Fabricated Metal Products,0-49,-71.40845897,41.80989514,1981,1986
769 Hope St it B,Chemicals & Allied Products,0-49,-71.395522,41.84781944,2002,2008
1 Brisas Dr,Leather & Leather Products,0-49,-71.52076458,41.67451012,2008,2010
154 Greenwood Street,"Printing, Publishing & Allied Industries",0-49,-71.43045965,41.77707195,1953,2010
381 Roosevelt Ave,Jewelry & Other Miscellaneous Manufacturing,50-99,-71.38225572,41.88383808,1953,2012
387 Charles St,Textile Mill Products,0-49,-71.41812638,41.84324492,1953,2010
25 Calhoun Ave,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.43501386,41.803095,1953,1998
111 Plan Way,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.44637539,41.73431364,1979,1994
735 Aliens Ave,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.39742369,41.79315526,1953,1998
358 Lowden St,Petroleum Refining & Related Industries,0-49,-71.39802426,41.86019247,1953,2012
18 Industrial Dr,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.54984843,41.91588443,1983,2010
24 Stevens St,Textile Mill Products,0-49,-71.48328499,41.85455919,1953,1953
1306 Broad St,Textile Mill Products,0-49,-71.40582795,41.79108733,1953,1953
10 Boyd Ave,"Printing, Publishing & Allied Industries",NA,-71.34889133,41.80804754,1998,1998
22 Morris Ln,"Printing, Publishing & Allied Industries",0-49,-71.35748549,41.81420983,2002,2010
903 Broadway,"Printing, Publishing & Allied Industries",0-49,-71.36958634,41.81636196,1998,2002
25 Almeida Ave,"Printing, Publishing & Allied Industries",0-49,-71.3456424,41.81397734,2006,2006
53 Eagle Street Providence,Chemicals & Allied Products,0-49,-71.43539061,41.82556,1983,1991
NA,Textile Mill Products,0-49,-71.52374631,41.70013808,1963,1963
63 Washington St,"Printing, Publishing & Allied Industries",0-49,-71.4308331,41.86206929,1953,1963
195 Public Street,"Printing, Publishing & Allied Industries",0-49,-71.40707932,41.80744116,1963,1963
61 Peck St,"Printing, Publishing & Allied Industries",0-49,-71.40874156,41.82260336,1953,1961
28 Gordon Ave,"Printing, Publishing & Allied Industries",0-49,-71.41597492,41.80445066,1953,1979
90 Brookside Avenue,Textile Mill Products,100-249,-71.52484973,41.70140369,1967,1981
279 Greene Street Woonsocket,"Printing, Publishing & Allied Industries",NA,-71.51081146,41.99858624,1991,1994
1430 E Main Rd,Leather & Leather Products,0-49,-71.25129173,41.57326676,1998,1998
112 Mathewson St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.41453858,41.82293323,1953,1953
143 Summer St,Jewelry & Other Miscellaneous Manufacturing,NA,-71.41797102,41.81490342,1953,1975
89 Harris Street Pawtucket,Industrial & Commercial Machinery,NA,-71.35762342,41.89036573,1975,2012
270 York Ave,Industrial & Commercial Machinery,0-49,-71.3649101,41.86705773,1979,2012
Pin 1,Jewelry & Other Miscellaneous Manufacturing,NA,-71.44099267,41.81422169,1971,1971
97 Federal St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.42423604,41.82243217,1953,1961
716 North Main Street,Jewelry & Other Miscellaneous Manufacturing,50-99,-71.40908049,41.83987448,1953,1994
63 Printery Street 331 9804,Jewelry & Other Miscellaneous Manufacturing,50-99,-71.40985768,41.84019627,1975,1975
Phone y401 351 3404,Fabricated Metal Products,0-49,-71.30843604,41.48118473,1998,1998
375 Aliens Ave,"Stone, Clay, Glass & Concrete Products",0-49,-71.40132538,41.80270112,2006,2006
703 Atwells Ave,Paper & Allied Products,0-49,-71.44020982,41.82467271,1979,2010
M5hum_,Jewelry & Other Miscellaneous Manufacturing,NA,-71.39531623,41.87758554,1971,1971
36 Greco Ln,Rubber & Miscellaneous Plastic Products,0-49,-71.46887077,41.72900229,1998,1998
7728 Post Rd,"Printing, Publishing & Allied Industries",0-49,-71.45816123,41.58744708,2008,2008
50 Esten Ave,Textile Mill Products,0-49,-71.40224255,41.86471851,1953,2012
1 Slater Rd,Textile Mill Products,0-49,-71.45405584,41.74660412,1998,2008
iiiookilogghm St,Fabricated Metal Products,50-99,-71.41770215,41.82776239,2006,2006
135 Webster St,Industrial & Commercial Machinery,0-49,-71.36732927,41.89061895,1986,2012
Mailing Address 100 Ashton Street,Fabricated Metal Products,0-49,-71.36996908,41.87636916,1991,1991
727 School St,Textile Mill Products,50-99,-71.37450339,41.86056245,1953,2002
121 Dyer St,Fabricated Metal Products,0-49,-71.40842277,41.82333424,1953,1969
309 311 South Main Street,Fabricated Metal Products,0-49,-71.57388372,41.68057926,1959,1969
345 Barton St,Textile Mill Products,0-49,-71.3927964,41.8792335,1953,1975
60 Glen Road,Rubber & Miscellaneous Plastic Products,0-49,-71.44589643,41.7534721,1971,1994
387 Charles Street Providence,Fabricated Metal Products,0-49,-71.41776918,41.84193234,1953,2010
2 Old County Rd,Fabricated Metal Products,0-49,-71.32654268,41.75513499,2008,2008
50 N Broadway,Jewelry & Other Miscellaneous Manufacturing,100-249,-71.35582135,41.83914069,1998,2010
319 Pocasset Avenue,Food & Kindred Products,0-49,-71.4571967,41.80638669,1969,1975
659 Armistice Blvd,Textile Mill Products,100-249,-71.34813596,41.87713113,1953,1988
158 Middle St,Textile Mill Products,0-49,-71.37927742,41.88658111,1953,1953
52 Troy Street,Jewelry & Other Miscellaneous Manufacturing,NA,-71.44150111,41.81513573,1953,1998
559 Hartford Avenue,Food & Kindred Products,0-49,-71.46251803,41.81921342,1971,1975
30 Cutler St,"Stone, Clay, Glass & Concrete Products",0-49,-71.27849301,41.7288687,1998,2008
25 Esten Avenue,Textile Mill Products,NA,-71.40236243,41.86544063,1953,2012
20 Sharpe Drive Cranston,Jewelry & Other Miscellaneous Manufacturing,NA,-71.45833864,41.73938495,1988,1994
115 Empire Street,Jewelry & Other Miscellaneous Manufacturing,NA,-71.41622106,41.821753,1953,1963
66 Mill Street Johnston,Industrial & Commercial Machinery,NA,-71.48842861,41.79574079,1975,2012
36 CliEord St,Industrial & Commercial Machinery,0-49,-71.38561389,41.86799176,1953,1959
Bristol Industrial Complex,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.27261038,41.66329683,1994,1994
500 Wood St it 34 02,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.2716795,41.67301788,1998,2002
60 Ho eworth Ave,Lumber & Wood Products Except Furniture,0-49,-71.25382967,41.68163897,2010,2010
George Washington Highway Smithfreld,Industrial & Commercial Machinery,0-49,-71.53990687,41.88557259,1971,1994
15 Snow Street,"Printing, Publishing & Allied Industries",0-49,-71.41520759,41.82223446,1953,1973
